id:ID,name,厂商,级别,能源类型,环保标准,上市时间,最大功率(kW),发动机,变速箱,车身结构,最高车速(km/h),工信部综合油耗(L/100km),整车质保
881,基本参数,上汽大通,中大型MPV,汽油,国VI,2020.05,165.0,2.0T 224马力 L4,6挡手自一体,MPV,190,10,三年或6万公里
882,基本参数,上汽大通,轻客,柴油,国V,2020.01,100.0,2.5T 136马力 L4,6挡AMT,客车,-,-,-
883,基本参数,上汽大通,轻客,柴油,国VI,2020.12,102.0,2.0T 139马力 L4,6挡AMT,客车,-,-,-
884,基本参数,上汽大通,紧凑型MPV,插电式混合动力,国VI,2020.05,120.0,1.3T 163马力 L3,AMT（组合10挡）,MPV,180,1.5,三年或8万公里
885,基本参数,上汽大通,皮卡,汽油,国VI,2020.12,115.0,2.4L 156马力 L4,5挡手动,皮卡,-,-,三年或6万公里
886,基本参数,上汽大通,紧凑型MPV,汽油,国VI,2020.07,124.0,1.5T 169马力 L4,7挡双离合,MPV,-,7.2,三年或6万公里
887,基本参数,上汽大通,轻客,柴油,国VI,2020.12,102.0,2.0T 139马力 L4,6挡手动,客车,-,-,-
888,基本参数,上汽大通,轻客,柴油,国VI,2019.07,109.0,2.0T 148马力 L4,6挡自动,货车,150,-,-
889,基本参数,上汽大通,轻客,柴油,国V,2019.09,100.0,2.5T 136马力 L4,6挡手动,客车,-,-,-
890,基本参数,上汽大通,轻客,柴油,国VI,2019.07,109.0,2.0T 148马力 L4,6挡手动,客车,150,-,-
891,基本参数,上汽大通,皮卡,柴油,国V,2016.12,110.0,2.8T 150马力 L4,6挡自动,皮卡,-,-,-
892,基本参数,上汽大通,皮卡,汽油,国VI,2020.03,157.0,2.0T 214马力 L4,6挡手动,皮卡,-,-,三年或6万公里
893,基本参数,上汽大通,轻客,氢燃料,-,2019.1,30.0,氢燃料 41马力,电动车单速变速箱,客车,-,-,-
894,基本参数,上汽大通,皮卡,柴油,国VI,2020.03,120.0,2.0T 163马力 L4,6挡自动,皮卡,-,-,-
895,基本参数,,,,,,,,,,,,
896,基本参数,上汽大通,中大型MPV,纯电动,,2018.09,75.0,,,MPV,150,,三年或6万公里
897,基本参数,上汽大通,微面,纯电动,,2019.01,70.0,,,货车,90,,-
898,基本参数,上汽大通,轻客,柴油,国VI,2020.12,102.0,2.0T 139马力 L4,6挡AMT,客车,-,-,-
899,基本参数,上汽大通,轻客,柴油,国VI,2019.07,109.0,2.0T 148马力 L4,6挡手动,客车,150,-,-
900,基本参数,上汽大通,轻客,柴油,国VI,2019.07,109.0,2.0T 148马力 L4,6挡手动,客车,150,-,-
901,基本参数,上汽大通,轻客,柴油,国V,2020.12,100.0,2.5T 136马力 L4,6挡手动,客车,-,-,-
902,基本参数,上汽大通,中型SUV,汽油,国VI,2019.07,120.0,1.3T 163马力 L3,6挡手动,SUV,-,-,三年或6万公里
903,基本参数,上汽大通,皮卡,汽油,国VI,2020.03,157.0,2.0T 214马力 L4,8挡自动,皮卡,-,-,三年或6万公里
904,基本参数,上汽大通,皮卡,柴油,国V,2016.12,110.0,2.8T 150马力 L4,6挡手动,皮卡,-,-,-
905,基本参数,上汽大通,皮卡,柴油,国VI,2019.06,120.0,2.0T 163马力 L4,6挡自动,皮卡,-,-,-
906,基本参数,上汽大通,皮卡,柴油,国V,2016.12,110.0,2.8T 150马力 L4,6挡手动,皮卡,-,-,-
