id:ID,name,高度(mm),轴距(mm),前轮距(mm),后轮距(mm),最小离地间隙(mm),整备质量(kg),车身结构,车门数(个),座位数(个),后排车门开启方式,油箱容积(L),货箱尺寸(mm)
1328,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1329,车身,2345.0,3850.0,-,-,-,-,货车,4.0,2/3,-,80,-
1330,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1331,车身,2105.0,2680.0,-,-,-,-,客车,4.0,12,侧滑门,-,-
1332,车身,1778.0,2800.0,1560,1570,130,-,MPV,5.0,5,,-,
1333,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1334,车身,2545.0,3366.0,-,-,-,-,客车,5.0,12,侧滑门,80,-
1335,车身,2345.0,3100.0,-,-,-,-,客车,5.0,5/6,侧滑门,80,-
1336,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1337,车身,2345.0,3100.0,-,-,-,-,货车,4.0,2/3,-,80,-
1338,车身,2612.0,4180.0,1734,1728,160,-,客车,4.0,10-14,侧滑门,-,-
1339,车身,2105.0,2680.0,-,-,-,-,客车,4.0,15,侧滑门,-,-
1340,车身,2345.0,3100.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1341,车身,1928.0,3198.0,-,-,-,-,MPV,4.0,7,,75,
1342,车身,2070.0,3100.0,-,-,-,-,货车,4.0,3,侧滑门,80,-
1343,车身,2577.0,4175.0,-,-,-,-,客车,4.0,17/18,-,80,-
1344,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,7,,50,
1345,车身,,,,,,,,,,,,
1346,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1347,车身,1778.0,2800.0,1560,1570,130,-,MPV,5.0,5,,-,
1348,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1349,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1350,车身,1845.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1351,车身,2345.0,3100.0,-,-,-,-,货车,4.0,2/3,侧滑门,80,-
1352,车身,2070.0,3100.0,-,-,-,-,客车,5.0,7/8/9,侧滑门,80,-
1353,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1354,车身,1928.0,3198.0,-,-,-,-,MPV,4.0,7,,75,
1355,车身,2070.0,3100.0,-,-,-,-,客车,5.0,5/6,侧滑门,80,-
1356,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1357,车身,2345.0,3100.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1358,车身,1910.0,3285.0,1548,1553,145,1560,货车,4.0,2,侧滑门,-,-
1359,车身,,,,,,,,,,,,
1360,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1361,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1362,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1363,车身,2345.0,3850.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1364,车身,2345.0,3100.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1365,车身,,,,,,,,,,,,
1366,车身,2345.0,3100.0,-,-,-,-,客车,5.0,5/6,侧滑门,80,-
1367,车身,2755.0,3760.0,-,-,-,-,货车,5.0,3,侧滑门,80,-
1368,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1369,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1370,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1371,车身,,,,,,,,,,,,
1372,车身,2345.0,3100.0,-,-,-,-,客车,5.0,7/8/9,侧滑门,80,-
1373,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1374,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1375,车身,1778.0,2800.0,1560,1570,130,-,MPV,5.0,5,,-,
1376,车身,1722.0,3155.0,-,-,185,-,皮卡,4.0,5,平开门,-,1485x1510x530
1377,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1378,车身,2535.0,3366.0,-,-,-,-,客车,5.0,7,侧滑门,80,-
1379,车身,1928.0,3198.0,-,-,-,-,MPV,4.0,7,,75,
1380,车身,1736.0,2760.0,1570,1580,160,-,SUV,5.0,5,,-,
1381,车身,2070.0,3100.0,-,-,-,-,货车,4.0,3,侧滑门,80,-
1382,车身,,,,,,,,,,,,
1383,车身,,,,,,,,,,,,
1384,车身,1895.0,2910.0,1548,1553,145,1420,货车,4.0,2,侧滑门,-,-
1385,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1386,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1387,车身,1928.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
1388,车身,2345.0,3100.0,-,-,-,-,客车,5.0,11/12,-,80,-
1389,车身,1845.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1390,车身,2105.0,2455.0,-,-,-,-,客车,4.0,10,侧滑门,-,-
1391,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
1392,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1393,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1394,车身,2552.0,3850.0,-,-,-,-,客车,5.0,7,侧滑门,80,-
1395,车身,2345.0,3100.0,-,-,-,-,货车,4.0,2/3,-,80,-
1396,车身,2535.0,3366.0,-,-,-,-,客车,5.0,7,侧滑门,80,-
1397,车身,,,,,,,,,,,,
1398,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1399,车身,,,,,,,,,,,,
1400,车身,2535.0,3760.0,-,-,-,-,货车,5.0,3,侧滑门,80,-
1401,车身,,,,,,,,,,,,
1402,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1403,车身,2535.0,3000.0,-,-,-,-,客车,5.0,6,侧滑门,80,-
1404,车身,1875.0,2950.0,1600,1620,210,-,SUV,5.0,7,,75,
1405,车身,2345.0,3850.0,-,-,-,-,客车,5.0,14/15,-,80,-
1406,车身,1875.0,2950.0,1600,1620,210,-,SUV,5.0,6,,75,
1407,车身,2535.0,3366.0,-,-,-,-,客车,5.0,7,侧滑门,80,-
